task_id,sample_index,input_image_path,output_path,source_sha256,label,missing_count,present_items,missing_items,bottle_proxy_state,bottle_proxy_bbox_xyxy,bottle_proxy_angle_degrees,batch_id,assigned_worker,status,retry_count,result_hash,review_status,prompt,edit_instruction
img2-0505,505,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0505__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_005.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0505__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_005.png,5c456d94cb6370643556b2a5c3d5c7eef1b7f2bfe950aaa339bd2b7163c7f0b1,false,1,bottle_proxy|manual_battery_instruction|manual_download_service|manual_service_qr,manual_warranty_service,lying_bar,"[44, 718, 312, 904]",56.194,pilot_20,jesse,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.","Replace black lying bar proxy with a realistic glass bottle lying in the same direction; proxy bbox=[44, 718, 312, 904], angle=56.194. Bottle must be fully on green conveyor and above all manuals."
img2-0510,510,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0510__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_010.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0510__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_010.png,c5e7d673803d7a225179176afc98d465992b07ea471922a3360bcb980b9b3e7a,false,1,bottle_proxy|manual_battery_instruction|manual_download_service|manual_service_qr,manual_warranty_service,upright_dot,"[1018, 296, 1057, 335]",,pilot_20,jesse,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.","Replace black dot proxy with upright top-down glass bottle/cap; proxy bbox=[1018, 296, 1057, 335], center=[1038, 315]. Bottle must be fully on green conveyor and above all manuals."
img2-0861,861,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0861__false__missing_1__combo_manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_001.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0861__false__missing_1__combo_manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_001.png,018f7c13991a0177166de2632bddab94be474585fadd86fe8ed8eebdcf3c2b74,false,1,manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,bottle_proxy,no_bottle,,,pilot_20,jesse,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.",No bottle proxy exists. Do not add a bottle; use Image2 only to make the existing manuals/background more photo-real while preserving object count and layout.
img2-0862,862,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0862__false__missing_1__combo_manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_002.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0862__false__missing_1__combo_manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_002.png,aac5fb4b7a49d43b81d06287870420a230daa1a84155eb0ca24084830d9d9753,false,1,manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,bottle_proxy,no_bottle,,,pilot_20,jesse,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.",No bottle proxy exists. Do not add a bottle; use Image2 only to make the existing manuals/background more photo-real while preserving object count and layout.
img2-0951,951,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0951__false__missing_2__combo_bottle_proxy__manual_battery_instruction__manual_download_service__copy_001.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0951__false__missing_2__combo_bottle_proxy__manual_battery_instruction__manual_download_service__copy_001.png,faf2c2a9ee926fd1cf7dea72646df20c798b1cb74c10c609dace73973c17c4a7,false,2,bottle_proxy|manual_battery_instruction|manual_download_service,manual_warranty_service|manual_service_qr,lying_bar,"[289, 56, 597, 153]",105.484,pilot_20,jesse,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.","Replace black lying bar proxy with a realistic glass bottle lying in the same direction; proxy bbox=[289, 56, 597, 153], angle=105.484. Bottle must be fully on green conveyor and above all manuals."
img2-0952,952,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0952__false__missing_2__combo_bottle_proxy__manual_battery_instruction__manual_download_service__copy_002.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0952__false__missing_2__combo_bottle_proxy__manual_battery_instruction__manual_download_service__copy_002.png,5c2ee67173b6a1867d4a6b367ff960a1fdfe4f95f1929b2e6a51ff7d78afa940,false,2,bottle_proxy|manual_battery_instruction|manual_download_service,manual_warranty_service|manual_service_qr,upright_dot,"[718, 740, 757, 779]",,pilot_20,jesse,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.","Replace black dot proxy with upright top-down glass bottle/cap; proxy bbox=[718, 740, 757, 779], center=[738, 760]. Bottle must be fully on green conveyor and above all manuals."
img2-0953,953,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0953__false__missing_2__combo_bottle_proxy__manual_battery_instruction__manual_download_service__copy_003.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0953__false__missing_2__combo_bottle_proxy__manual_battery_instruction__manual_download_service__copy_003.png,9d0a85977154a3f5c6f280937d2855c14d76f9bd126db9e615da6346ca5e9658,false,2,bottle_proxy|manual_battery_instruction|manual_download_service,manual_warranty_service|manual_service_qr,lying_bar,"[1260, 530, 1359, 837]",164.303,pilot_20,jesse,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.","Replace black lying bar proxy with a realistic glass bottle lying in the same direction; proxy bbox=[1260, 530, 1359, 837], angle=164.303. Bottle must be fully on green conveyor and above all manuals."
img2-0974,974,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0974__false__missing_2__combo_manual_battery_instruction__manual_download_service__manual_service_qr__copy_001.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0974__false__missing_2__combo_manual_battery_instruction__manual_download_service__manual_service_qr__copy_001.png,e7579a0c56204752ca4e5269129e64059408e7638f7e62f21429aad7368a8565,false,2,manual_battery_instruction|manual_download_service|manual_service_qr,bottle_proxy|manual_warranty_service,no_bottle,,,pilot_20,jesse,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.",No bottle proxy exists. Do not add a bottle; use Image2 only to make the existing manuals/background more photo-real while preserving object count and layout.
img2-0986,986,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0986__false__missing_3__combo_bottle_proxy__manual_battery_instruction__copy_001.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0986__false__missing_3__combo_bottle_proxy__manual_battery_instruction__copy_001.png,835a87413a742a74ff32bc3e9d818a372495ae0f691e2455a595643b0623eacb,false,3,bottle_proxy|manual_battery_instruction,manual_warranty_service|manual_download_service|manual_service_qr,lying_bar,"[436, 228, 744, 331]",106.504,pilot_20,jesse,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.","Replace black lying bar proxy with a realistic glass bottle lying in the same direction; proxy bbox=[436, 228, 744, 331], angle=106.504. Bottle must be fully on green conveyor and above all manuals."
img2-0994,994,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0994__false__missing_3__combo_manual_battery_instruction__manual_download_service__copy_001.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0994__false__missing_3__combo_manual_battery_instruction__manual_download_service__copy_001.png,f5afa71236eaebef9b25421c03ab4717caca2dd39168e89fca290c754870f647,false,3,manual_battery_instruction|manual_download_service,bottle_proxy|manual_warranty_service|manual_service_qr,no_bottle,,,pilot_20,jesse,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.",No bottle proxy exists. Do not add a bottle; use Image2 only to make the existing manuals/background more photo-real while preserving object count and layout.
