task_id,sample_index,input_image_path,output_path,source_sha256,label,missing_count,present_items,missing_items,bottle_proxy_state,bottle_proxy_bbox_xyxy,bottle_proxy_angle_degrees,batch_id,assigned_worker,status,retry_count,result_hash,review_status,prompt,edit_instruction
img2-0171,171,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0171__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_171.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0171__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_171.png,4b65835de8c9a990ecaefe0ed6b9baee8ba9622bfeba1c8d35d7ec8373992bd4,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,lying_bar,"[194, 322, 432, 545]",133.042,prod_02,jesse,failed_live_image2_overedited_scene,0,,blocked_no_output,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black bottle proxy exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. Replace the black lying bar with a realistic glass bottle selected/matched from the Generated Bottle Pose Collection. Match the bottle long-axis direction and make the generated bottle length/overall size align to the black bar bbox [194, 322, 432, 545]; do not make it longer, shorter, thicker, or visually displaced. Bottle must be fully on green conveyor and above all manuals."
img2-0172,172,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0172__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_172.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0172__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_172.png,0fe4c51cbc2819c47e93877067a27339efd79b206097ba8b8813c0df36e7a1ce,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,lying_bar,"[366, 106, 442, 420]",168.686,prod_02,jesse,paused_after_0171_blocker,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black bottle proxy exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. Replace the black lying bar with a realistic glass bottle selected/matched from the Generated Bottle Pose Collection. Match the bottle long-axis direction and make the generated bottle length/overall size align to the black bar bbox [366, 106, 442, 420]; do not make it longer, shorter, thicker, or visually displaced. Bottle must be fully on green conveyor and above all manuals."
img2-0173,173,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0173__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_173.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0173__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_173.png,76aadeda0f0e272eae7148c7b4535738130084ba3ad644530dc374db8094f84b,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,upright_dot,"[332, 918, 371, 957]",,prod_02,jesse,paused_after_0171_blocker,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black lying bar exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. When a black dot exists, it marks only the red cap diameter/anchor of an upright top-down bottle; generate the full upright bottle larger than the dot according to the reference bottle proportions. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. This is an upright/top-down bottle. The black dot bbox [332, 918, 371, 957] represents the red bottle-cap diameter/anchor only, NOT the full bottle size. Scale the upright bottle from the reference collection so the red cap diameter matches the black dot diameter; the visible glass bottle shoulder/body footprint must be clearly larger than the black dot, matching the reference bottle proportions. Keep the bottle centered on the dot, fully on the green conveyor, visually above all manuals, and remove all black dot residue."
img2-0174,174,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0174__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_174.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0174__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_174.png,164707fa76bef3be0d9a998bcbca44af38687d3c6454f8786341d0f2f1b35598,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,lying_bar,"[1091, 1010, 1409, 1033]",91.284,prod_02,jesse,paused_after_0171_blocker,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black bottle proxy exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. Replace the black lying bar with a realistic glass bottle selected/matched from the Generated Bottle Pose Collection. Match the bottle long-axis direction and make the generated bottle length/overall size align to the black bar bbox [1091, 1010, 1409, 1033]; do not make it longer, shorter, thicker, or visually displaced. Bottle must be fully on green conveyor and above all manuals."
img2-0175,175,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0175__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_175.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0175__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_175.png,5b00710a4f7d76e4a47603b60829829872faa3e6ec718dc9287b25977cd0b8a3,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,lying_bar,"[950, 110, 1059, 415]",161.9,prod_02,jesse,paused_after_0171_blocker,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black bottle proxy exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. Replace the black lying bar with a realistic glass bottle selected/matched from the Generated Bottle Pose Collection. Match the bottle long-axis direction and make the generated bottle length/overall size align to the black bar bbox [950, 110, 1059, 415]; do not make it longer, shorter, thicker, or visually displaced. Bottle must be fully on green conveyor and above all manuals."
img2-0176,176,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0176__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_176.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0176__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_176.png,7a51c0df5d78bd6568d3cf268e6627ac12c6dd8260f9665973d98c3cf44cbce8,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,lying_bar,"[64, 686, 311, 899]",130.426,prod_02,jesse,paused_after_0171_blocker,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black bottle proxy exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. Replace the black lying bar with a realistic glass bottle selected/matched from the Generated Bottle Pose Collection. Match the bottle long-axis direction and make the generated bottle length/overall size align to the black bar bbox [64, 686, 311, 899]; do not make it longer, shorter, thicker, or visually displaced. Bottle must be fully on green conveyor and above all manuals."
img2-0177,177,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0177__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_177.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0177__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_177.png,72c3108e35c98e95b202c58d87e73c2d7b3b9fcc3726d9cacac0a0e2ce5693d1,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,upright_dot,"[418, 878, 457, 917]",,prod_02,jesse,paused_after_0171_blocker,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black lying bar exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. When a black dot exists, it marks only the red cap diameter/anchor of an upright top-down bottle; generate the full upright bottle larger than the dot according to the reference bottle proportions. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. This is an upright/top-down bottle. The black dot bbox [418, 878, 457, 917] represents the red bottle-cap diameter/anchor only, NOT the full bottle size. Scale the upright bottle from the reference collection so the red cap diameter matches the black dot diameter; the visible glass bottle shoulder/body footprint must be clearly larger than the black dot, matching the reference bottle proportions. Keep the bottle centered on the dot, fully on the green conveyor, visually above all manuals, and remove all black dot residue."
img2-0178,178,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0178__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_178.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0178__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_178.png,ffe379564d863dbecf0373b5576956855f92878d620d9f0c50d22a5e80a4580a,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,lying_bar,"[570, 219, 863, 359]",66.074,prod_02,jesse,paused_after_0171_blocker,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black bottle proxy exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. Replace the black lying bar with a realistic glass bottle selected/matched from the Generated Bottle Pose Collection. Match the bottle long-axis direction and make the generated bottle length/overall size align to the black bar bbox [570, 219, 863, 359]; do not make it longer, shorter, thicker, or visually displaced. Bottle must be fully on green conveyor and above all manuals."
img2-0179,179,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0179__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_179.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0179__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_179.png,e3d215b1604d4b863c3b37adeeacfd0937b0907bc75b7a5d716520e8ab54579b,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,upright_dot,"[1336, 392, 1375, 431]",,prod_02,jesse,paused_after_0171_blocker,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black lying bar exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. When a black dot exists, it marks only the red cap diameter/anchor of an upright top-down bottle; generate the full upright bottle larger than the dot according to the reference bottle proportions. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. This is an upright/top-down bottle. The black dot bbox [1336, 392, 1375, 431] represents the red bottle-cap diameter/anchor only, NOT the full bottle size. Scale the upright bottle from the reference collection so the red cap diameter matches the black dot diameter; the visible glass bottle shoulder/body footprint must be clearly larger than the black dot, matching the reference bottle proportions. Keep the bottle centered on the dot, fully on the green conveyor, visually above all manuals, and remove all black dot residue."
img2-0180,180,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0180__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_180.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0180__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_180.png,7602f1d9cc54ee0579e1037189313823261d9f2f6804b773820571de2e0e2819,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,lying_bar,"[257, 135, 429, 411]",30.984,prod_02,jesse,paused_after_0171_blocker,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black bottle proxy exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. Replace the black lying bar with a realistic glass bottle selected/matched from the Generated Bottle Pose Collection. Match the bottle long-axis direction and make the generated bottle length/overall size align to the black bar bbox [257, 135, 429, 411]; do not make it longer, shorter, thicker, or visually displaced. Bottle must be fully on green conveyor and above all manuals."
