task_id,sample_index,input_image_path,output_path,source_sha256,label,missing_count,present_items,missing_items,bottle_proxy_state,bottle_proxy_bbox_xyxy,bottle_proxy_angle_degrees,batch_id,assigned_worker,status,retry_count,result_hash,review_status,prompt,edit_instruction
img2-0001,1,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0001__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_001.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0001__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_001.png,e0c1ac9ad0314f1552bceb6faa228045855902b2f0416e39c96c53d132ed9f2f,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,lying_bar,"[387, 380, 645, 579]",127.152,pilot_20,tony,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.","Replace black lying bar proxy with a realistic glass bottle lying in the same direction; proxy bbox=[387, 380, 645, 579], angle=127.152. Bottle must be fully on green conveyor and above all manuals."
img2-0002,2,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0002__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_002.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0002__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_002.png,1fef2b25945b1e280efe2e8bb966d5808ca5fd86941d729ea97c4c8d2412eb43,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,lying_bar,"[1284, 326, 1345, 642]",8.426,pilot_20,tony,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.","Replace black lying bar proxy with a realistic glass bottle lying in the same direction; proxy bbox=[1284, 326, 1345, 642], angle=8.426. Bottle must be fully on green conveyor and above all manuals."
img2-0003,3,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0003__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_003.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0003__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_003.png,e22292f06d06a93552d1e70f1a6139ca846665ae76023c9c904505a74863f90c,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,lying_bar,"[52, 522, 361, 613]",75.827,pilot_20,tony,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.","Replace black lying bar proxy with a realistic glass bottle lying in the same direction; proxy bbox=[52, 522, 361, 613], angle=75.827. Bottle must be fully on green conveyor and above all manuals."
img2-0004,4,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0004__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_004.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0004__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_004.png,3c78f1fdffd0dfc88b60b12fd6aee12c096d51c3c856c60d35952d9de19ad99c,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,lying_bar,"[516, 384, 749, 610]",133.856,pilot_20,tony,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.","Replace black lying bar proxy with a realistic glass bottle lying in the same direction; proxy bbox=[516, 384, 749, 610], angle=133.856. Bottle must be fully on green conveyor and above all manuals."
img2-0005,5,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0005__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_005.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0005__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_005.png,2f0473c891a2bd1cb9d2b37a0f71a7afa888ae54af30fcec21c0e6a56c53683c,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,upright_dot,"[1186, 408, 1225, 447]",,pilot_20,tony,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.","Replace black dot proxy with upright top-down glass bottle/cap; proxy bbox=[1186, 408, 1225, 447], center=[1206, 427]. Bottle must be fully on green conveyor and above all manuals."
img2-0006,6,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0006__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_006.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0006__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_006.png,72a1a27adf601b2fd5841440dea60641d231ac1cac282f5ac4ef0a43748f2978,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,upright_dot,"[930, 112, 969, 151]",,pilot_20,tony,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.","Replace black dot proxy with upright top-down glass bottle/cap; proxy bbox=[930, 112, 969, 151], center=[950, 131]. Bottle must be fully on green conveyor and above all manuals."
img2-0501,501,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0501__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_001.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0501__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_001.png,bca0b42d9b03f401c3152b1003975d814fdfd468a37e558189180752fff123ca,false,1,bottle_proxy|manual_battery_instruction|manual_download_service|manual_service_qr,manual_warranty_service,lying_bar,"[338, 480, 486, 769]",154.443,pilot_20,tony,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.","Replace black lying bar proxy with a realistic glass bottle lying in the same direction; proxy bbox=[338, 480, 486, 769], angle=154.443. Bottle must be fully on green conveyor and above all manuals."
img2-0502,502,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0502__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_002.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0502__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_002.png,10311502c979fd0ed71bf1d834e3a6cf38a51fc65dc38635264195bf05173cbb,false,1,bottle_proxy|manual_battery_instruction|manual_download_service|manual_service_qr,manual_warranty_service,lying_bar,"[891, 142, 1123, 372]",134.752,pilot_20,tony,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.","Replace black lying bar proxy with a realistic glass bottle lying in the same direction; proxy bbox=[891, 142, 1123, 372], angle=134.752. Bottle must be fully on green conveyor and above all manuals."
img2-0503,503,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0503__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_003.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0503__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_003.png,80aadcc8fc18a3910b8eb89bb401db19bcb198245e111a78d6a55618c6b72db6,false,1,bottle_proxy|manual_battery_instruction|manual_download_service|manual_service_qr,manual_warranty_service,lying_bar,"[222, 201, 461, 423]",47.331,pilot_20,tony,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.","Replace black lying bar proxy with a realistic glass bottle lying in the same direction; proxy bbox=[222, 201, 461, 423], angle=47.331. Bottle must be fully on green conveyor and above all manuals."
img2-0504,504,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0504__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_004.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0504__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_004.png,ff3227168387742261d6f5c15789587de1392ab55b70a8665953580a672b39a4,false,1,bottle_proxy|manual_battery_instruction|manual_download_service|manual_service_qr,manual_warranty_service,upright_dot,"[1014, 166, 1053, 205]",,pilot_20,tony,pending,0,,not_ready,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. Remove only the black bottle proxy when present and replace it with the glass bottle described in edit_instruction. Output 1448x1086 PNG.","Replace black dot proxy with upright top-down glass bottle/cap; proxy bbox=[1014, 166, 1053, 205], center=[1034, 185]. Bottle must be fully on green conveyor and above all manuals."
