task_id,sample_index,input_image_path,output_path,source_sha256,label,missing_count,present_items,missing_items,bottle_proxy_state,bottle_proxy_bbox_xyxy,bottle_proxy_angle_degrees,batch_id,assigned_worker,status,retry_count,result_hash,review_status,prompt,edit_instruction,repair_reason,repair_instruction
img2-0001,1,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0001__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_001.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0001__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_001.png,e0c1ac9ad0314f1552bceb6faa228045855902b2f0416e39c96c53d132ed9f2f,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,lying_bar,"[387, 380, 645, 579]",127.152,pilot_20,tony,needs_rework_corrected_bottle_reference,0,,rework_required,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black bottle proxy exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. Replace the black lying bar with a realistic glass bottle selected/matched from the Generated Bottle Pose Collection. Match the bottle long-axis direction and make the generated bottle length/overall size align to the black bar bbox [387, 380, 645, 579]; do not make it longer, shorter, thicker, or visually displaced. Bottle must be fully on green conveyor and above all manuals.",audit_bottle_shape_material,"Visually compare the bottle against Generated Bottle Pose Collection; if bottle shape/material is not the provided bottle, rework by overwriting exact output filename."
img2-0002,2,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0002__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_002.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0002__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_002.png,1fef2b25945b1e280efe2e8bb966d5808ca5fd86941d729ea97c4c8d2412eb43,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,lying_bar,"[1284, 326, 1345, 642]",8.426,pilot_20,tony,needs_rework_corrected_bottle_reference,0,,rework_required,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black bottle proxy exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. Replace the black lying bar with a realistic glass bottle selected/matched from the Generated Bottle Pose Collection. Match the bottle long-axis direction and make the generated bottle length/overall size align to the black bar bbox [1284, 326, 1345, 642]; do not make it longer, shorter, thicker, or visually displaced. Bottle must be fully on green conveyor and above all manuals.",audit_bottle_shape_material,"Visually compare the bottle against Generated Bottle Pose Collection; if bottle shape/material is not the provided bottle, rework by overwriting exact output filename."
img2-0003,3,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0003__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_003.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0003__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_003.png,e22292f06d06a93552d1e70f1a6139ca846665ae76023c9c904505a74863f90c,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,lying_bar,"[52, 522, 361, 613]",75.827,pilot_20,tony,needs_rework_corrected_bottle_reference,0,,rework_required,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black bottle proxy exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. Replace the black lying bar with a realistic glass bottle selected/matched from the Generated Bottle Pose Collection. Match the bottle long-axis direction and make the generated bottle length/overall size align to the black bar bbox [52, 522, 361, 613]; do not make it longer, shorter, thicker, or visually displaced. Bottle must be fully on green conveyor and above all manuals.",audit_bottle_shape_material,"Visually compare the bottle against Generated Bottle Pose Collection; if bottle shape/material is not the provided bottle, rework by overwriting exact output filename."
img2-0004,4,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0004__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_004.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0004__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_004.png,3c78f1fdffd0dfc88b60b12fd6aee12c096d51c3c856c60d35952d9de19ad99c,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,lying_bar,"[516, 384, 749, 610]",133.856,pilot_20,tony,needs_rework_corrected_bottle_reference,0,,rework_required,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black bottle proxy exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. Replace the black lying bar with a realistic glass bottle selected/matched from the Generated Bottle Pose Collection. Match the bottle long-axis direction and make the generated bottle length/overall size align to the black bar bbox [516, 384, 749, 610]; do not make it longer, shorter, thicker, or visually displaced. Bottle must be fully on green conveyor and above all manuals.",audit_bottle_shape_material,"Visually compare the bottle against Generated Bottle Pose Collection; if bottle shape/material is not the provided bottle, rework by overwriting exact output filename."
img2-0005,5,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0005__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_005.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0005__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_005.png,2f0473c891a2bd1cb9d2b37a0f71a7afa888ae54af30fcec21c0e6a56c53683c,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,upright_dot,"[1186, 408, 1225, 447]",,pilot_20,tony,needs_rework_upright_scale_v2,0,,rework_required_upright_too_small,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black lying bar exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. When a black dot exists, it marks only the red cap diameter/anchor of an upright top-down bottle; generate the full upright bottle larger than the dot according to the reference bottle proportions. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. This is an upright/top-down bottle. The black dot bbox [1186, 408, 1225, 447] represents the red bottle-cap diameter/anchor only, NOT the full bottle size. Scale the upright bottle from the reference collection so the red cap diameter matches the black dot diameter; the visible glass bottle shoulder/body footprint must be clearly larger than the black dot, matching the reference bottle proportions. Keep the bottle centered on the dot, fully on the green conveyor, visually above all manuals, and remove all black dot residue.",upright_scale_and_shape_repair,Black dot is red cap diameter/anchor only; full upright bottle body must be visibly larger than dot and match Generated Bottle Pose Collection proportions.
img2-0006,6,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0006__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_006.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0006__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_006.png,72a1a27adf601b2fd5841440dea60641d231ac1cac282f5ac4ef0a43748f2978,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,upright_dot,"[930, 112, 969, 151]",,pilot_20,tony,needs_rework_upright_scale_v2,0,,rework_required_upright_too_small,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black lying bar exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. When a black dot exists, it marks only the red cap diameter/anchor of an upright top-down bottle; generate the full upright bottle larger than the dot according to the reference bottle proportions. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. This is an upright/top-down bottle. The black dot bbox [930, 112, 969, 151] represents the red bottle-cap diameter/anchor only, NOT the full bottle size. Scale the upright bottle from the reference collection so the red cap diameter matches the black dot diameter; the visible glass bottle shoulder/body footprint must be clearly larger than the black dot, matching the reference bottle proportions. Keep the bottle centered on the dot, fully on the green conveyor, visually above all manuals, and remove all black dot residue.",upright_scale_and_shape_repair,Black dot is red cap diameter/anchor only; full upright bottle body must be visibly larger than dot and match Generated Bottle Pose Collection proportions.
img2-0007,7,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0007__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_007.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0007__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_007.png,d0f673bbe9c6dd447e1c69ae7eab9712f271852cdbda061bd5ca48f6592d0d1d,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,upright_dot,"[536, 990, 575, 1029]",,prod_01,tony,needs_rework_upright_scale_v2,0,eda9a907c8701d9f25e0336a25e9f6af1358d9c4cbbfefa4c63f6a03426c7070,rework_required_upright_too_small,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black lying bar exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. When a black dot exists, it marks only the red cap diameter/anchor of an upright top-down bottle; generate the full upright bottle larger than the dot according to the reference bottle proportions. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. This is an upright/top-down bottle. The black dot bbox [536, 990, 575, 1029] represents the red bottle-cap diameter/anchor only, NOT the full bottle size. Scale the upright bottle from the reference collection so the red cap diameter matches the black dot diameter; the visible glass bottle shoulder/body footprint must be clearly larger than the black dot, matching the reference bottle proportions. Keep the bottle centered on the dot, fully on the green conveyor, visually above all manuals, and remove all black dot residue.",upright_scale_and_shape_repair,Black dot is red cap diameter/anchor only; full upright bottle body must be visibly larger than dot and match Generated Bottle Pose Collection proportions.
img2-0008,8,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0008__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_008.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0008__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_008.png,62816ce2f132015fd1365871374a98b1491bb59e99b4e917c721a9bb35f0ca02,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,lying_bar,"[414, 382, 601, 649]",34.276,prod_01,tony,completed_visual_reference_copy,0,88d6c04d01d4983b682cbfce6296d7df893861a05a4641728f900427abcb8845,ready_visual_review_provenance_risk,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black bottle proxy exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. Replace the black lying bar with a realistic glass bottle selected/matched from the Generated Bottle Pose Collection. Match the bottle long-axis direction and make the generated bottle length/overall size align to the black bar bbox [414, 382, 601, 649]; do not make it longer, shorter, thicker, or visually displaced. Bottle must be fully on green conveyor and above all manuals.",audit_bottle_shape_material,"Visually compare the bottle against Generated Bottle Pose Collection; if bottle shape/material is not the provided bottle, rework by overwriting exact output filename."
img2-0009,9,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0009__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_009.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0009__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_009.png,82a1f82f9a571cad2c5435e8e870767cd42b3804d0552426ceed65e03367ab76,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,lying_bar,"[996, 272, 1314, 321]",96.166,prod_01,tony,completed_visual_reference_copy,0,19981a357d05b364ee5028b9d7e6c842874d727f30d3792ab59bec72c9dc4300,ready_visual_review_provenance_risk,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black bottle proxy exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. Replace the black lying bar with a realistic glass bottle selected/matched from the Generated Bottle Pose Collection. Match the bottle long-axis direction and make the generated bottle length/overall size align to the black bar bbox [996, 272, 1314, 321]; do not make it longer, shorter, thicker, or visually displaced. Bottle must be fully on green conveyor and above all manuals.",audit_bottle_shape_material,"Visually compare the bottle against Generated Bottle Pose Collection; if bottle shape/material is not the provided bottle, rework by overwriting exact output filename."
img2-0010,10,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0010__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_010.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0010__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_010.png,b6ed577fd39cbd42f2cb067bf4969dcb1497b7736daf00b9ddd6a31395a4ba7c,true,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,,lying_bar,"[798, 536, 1070, 715]",57.601,prod_01,tony,completed_visual_reference_copy,0,df21591f996dd3c38374089f63294d7a88f7be63691687d8f2d6c6b7a859dad3,ready_visual_review_provenance_risk,"AI image edit from the provided proxy sketch. Preserve background, camera framing, manual count, manual positions, rotations, scale, overlaps, text, QR codes and logos. When a black bottle proxy exists, replace it using the bottle appearance/pose references from the Generated Bottle Pose Collection folder and align final bottle length/size to the black proxy. Output 1448x1086 PNG.","Use bottle material/pose references only from /mnt/f/CodexWorkspace/assembly_line_optimize/generated_bottle_pose_collection. Replace the black lying bar with a realistic glass bottle selected/matched from the Generated Bottle Pose Collection. Match the bottle long-axis direction and make the generated bottle length/overall size align to the black bar bbox [798, 536, 1070, 715]; do not make it longer, shorter, thicker, or visually displaced. Bottle must be fully on green conveyor and above all manuals.",audit_bottle_shape_material,"Visually compare the bottle against Generated Bottle Pose Collection; if bottle shape/material is not the provided bottle, rework by overwriting exact output filename."
