task_id,status,note
img2-0114,PASS,Accepted by Book after Kevin repair recheck
img2-0115,PASS,Accepted by Book after Kevin repair recheck
img2-0116,PASS,Accepted by Book after Kevin repair recheck
img2-0117,PASS,Accepted by Book after Kevin repair recheck
img2-0176,PASS,Accepted by Book after Kevin repair recheck
img2-0178,PASS,Accepted by Book after Kevin repair recheck
img2-0181,PASS,Accepted by Book after Kevin repair recheck
img2-0120,PASS,Accepted by Book after Kevin repair recheck
img2-0123,PASS,Accepted by Book after Kevin repair recheck
img2-0118,PASS,Accepted by Book after Kevin repair recheck
img2-0119,PASS,Accepted by Book after Kevin repair recheck
img2-0121,PASS,Accepted by Book after Kevin repair recheck
img2-0122,PASS,Accepted by Book after Kevin repair recheck
img2-0180,PASS,Accepted by Book after Kevin repair recheck
img2-0185,PASS,Accepted by Book after Kevin repair recheck
img2-0182,SENT_TO_KEVIN,Awaiting Kevin JSON receipt
img2-0183,SENT_TO_KEVIN,Awaiting Kevin JSON receipt
img2-0184,SENT_TO_KEVIN,Awaiting Kevin JSON receipt
img2-0124,FAIL_NOT_YET_SENT,New hard fail; dispatching JSON repair task now
img2-0125,FAIL_NOT_YET_SENT,New hard fail; dispatching JSON repair task now
img2-0126,FAIL_NOT_YET_SENT,New hard fail; dispatching JSON repair task now
img2-0186,FAIL_NOT_YET_SENT,New hard fail; dispatching JSON repair task now
img2-0187,FAIL_NOT_YET_SENT,New hard fail; dispatching JSON repair task now
img2-0188,FAIL_NOT_YET_SENT,New hard fail; dispatching JSON repair task now
img2-0189,FAIL_NOT_YET_SENT,New hard fail; dispatching JSON repair task now
img2-0190,FAIL_NOT_YET_SENT,New hard fail; dispatching JSON repair task now
img2-0124,PASS,Correction/latest status: accepted by Book after Kevin repair and recheck
img2-0126,PASS,Correction/latest status: accepted by Book after Kevin repair and recheck
img2-0186,PASS,Correction/latest status: accepted by Book after Kevin repair and recheck
img2-0188,PASS,Correction/latest status: accepted by Book after Kevin repair and recheck
img2-0189,PASS,Correction/latest status: accepted by Book after Kevin repair and recheck
img2-0125,RETRY_SENT_PENDING_RECEIPT,Correction/latest status: focused retry sent after visual recheck; awaiting Kevin receipt
img2-0182,RETRY_SENT_PENDING_RECEIPT,Correction/latest status: focused retry sent after visual recheck; awaiting Kevin receipt
img2-0187,RETRY_SENT_PENDING_RECEIPT,Correction/latest status: focused retry sent after visual recheck; awaiting Kevin receipt
img2-0190,SENT_TO_KEVIN_PENDING_RECEIPT,Correction/latest status: initial JSON repair sent; awaiting Kevin receipt
