task_id,filename,bottle_proxy_state,bbox,output_path,input_path,readable,size,resolution_ok,outside_proxy_pct_gt25,outside_proxy_mean_absdiff,sha256,decision,reason
img2-0118,0118__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_118.png,upright_dot,"[194, 790, 233, 829]",/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0118__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_118.png,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0118__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_118.png,True,1448x1086,True,0.0,0.0,6803ed3ccc8b78438cdada23522595bb46e561e3cae4d19c9f2e56ab5429b7df,PASS_CANDIDATE,low source-scene drift; visual inspection needed
img2-0119,0119__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_119.png,lying_bar,"[406, 385, 657, 593]",/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0119__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_119.png,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0119__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_119.png,True,1448x1086,True,0.0,0.0,319352f6ddb459d367de5f634700a2c776c03055eb362d097d83d08d663d8bb1,PASS_CANDIDATE,low source-scene drift; visual inspection needed
img2-0121,0121__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_121.png,lying_bar,"[454, 32, 658, 286]",/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0121__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_121.png,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0121__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_121.png,True,1448x1086,True,0.0,0.0,21bac687a6582ef65499799664255ce9834da2622d992b3e5756251931cfc574,PASS_CANDIDATE,low source-scene drift; visual inspection needed
img2-0122,0122__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_122.png,lying_bar,"[487, 70, 805, 93]",/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0122__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_122.png,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0122__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_122.png,True,1448x1086,True,0.0,0.0,2d8e61b9e1574aec85c3c338892dd6a6504d4ec86ac69ab6e6c37230bc2ef99d,PASS_CANDIDATE,low source-scene drift; visual inspection needed
img2-0180,0180__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_180.png,lying_bar,"[257, 135, 429, 411]",/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0180__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_180.png,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0180__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_180.png,True,1448x1086,True,0.0,0.0,543bd7340319434c49b5ab2ee14a6cafdefb084890807151d4a60644ebaf64a3,PASS_CANDIDATE,low source-scene drift; visual inspection needed
img2-0184,0184__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_184.png,upright_dot,"[312, 660, 351, 699]",/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0184__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_184.png,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0184__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_184.png,True,1448x1086,True,0.0,0.0,2ecfee14041e7bf66dfff69b02b42d6ceffc51f190eea20574ab74410ace9dcc,PASS_CANDIDATE,low source-scene drift; visual inspection needed
img2-0185,0185__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_185.png,upright_dot,"[48, 754, 87, 793]",/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0185__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_185.png,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0185__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_185.png,True,1448x1086,True,0.0,0.0,916abf0d783875287513e36062dbc035220388a50c705fb7969a386e7f977aa7,PASS_CANDIDATE,low source-scene drift; visual inspection needed
img2-0124,0124__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_124.png,lying_bar,"[584, 686, 792, 936]",/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0124__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_124.png,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0124__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_124.png,True,1448x1086,True,0.312546,39.316,ce46820866b153f1ffb1fa6bc50cf0273864a0ea3a6ef97933b0f81249e6ddd3,FAIL,major source-scene/manual drift
img2-0125,0125__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_125.png,upright_dot,"[1388, 890, 1427, 929]",/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0125__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_125.png,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0125__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_125.png,True,1448x1086,True,0.282244,34.055,36934e07ebd09530a07938802084eb5d242f84abb4d498b30f356789558a7c15,FAIL,major source-scene/manual drift
img2-0126,0126__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_126.png,lying_bar,"[620, 774, 835, 1020]",/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0126__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_126.png,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0126__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_126.png,True,1448x1086,True,0.363992,46.487,5c169356a22d01d33d75db75e470490c90374ae79eb0f20abfa76c574c5d8fa1,FAIL,major source-scene/manual drift
img2-0186,0186__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_186.png,lying_bar,"[1044, 734, 1349, 843]",/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0186__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_186.png,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0186__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_186.png,True,1448x1086,True,0.279755,34.994,4856fc48cd6b225b34eae7f760078d0ee72f08ee3d1e4a10bca4400b8b87cd76,FAIL,major source-scene/manual drift
