task_id,filename,new_since_previous_review,bottle_proxy_state,bottle_proxy_bbox_xyxy,status,review_status,outside_proxy_pct_gt25,outside_proxy_mean_absdiff,failure_reasons
img2-0006,0006__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_006.png,False,upright_dot,"[930, 112, 969, 151]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.1767,19.502,major source-scene drift outside proxy region (pct_gt25=0.1767); manual layout/text not reliably preserved
img2-0025,0025__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_025.png,False,upright_dot,"[810, 246, 849, 285]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.342,43.367,major source-scene drift outside proxy region (pct_gt25=0.3420); manual layout/text not reliably preserved
img2-0032,0032__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_032.png,False,upright_dot,"[228, 674, 267, 713]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.287,36.984,major source-scene drift outside proxy region (pct_gt25=0.2870); manual layout/text not reliably preserved
img2-0038,0038__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_038.png,False,upright_dot,"[110, 670, 149, 709]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.3746,48.609,major source-scene drift outside proxy region (pct_gt25=0.3746); manual layout/text not reliably preserved
img2-0040,0040__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_040.png,False,upright_dot,"[1024, 804, 1063, 843]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.3078,37.769,major source-scene drift outside proxy region (pct_gt25=0.3078); manual layout/text not reliably preserved
img2-0045,0045__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_045.png,False,upright_dot,"[250, 954, 289, 993]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.3166,40.261,major source-scene drift outside proxy region (pct_gt25=0.3166); manual layout/text not reliably preserved
img2-0046,0046__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_046.png,False,upright_dot,"[194, 670, 233, 709]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.3411,42.871,major source-scene drift outside proxy region (pct_gt25=0.3411); manual layout/text not reliably preserved
img2-0047,0047__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_047.png,False,upright_dot,"[980, 58, 1019, 97]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.2955,38.968,major source-scene drift outside proxy region (pct_gt25=0.2955); manual layout/text not reliably preserved
img2-0056,0056__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_056.png,False,upright_dot,"[646, 90, 685, 129]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.3183,39.923,major source-scene drift outside proxy region (pct_gt25=0.3183); manual layout/text not reliably preserved
img2-0058,0058__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_058.png,False,upright_dot,"[384, 900, 423, 939]",needs_rework_upright_scale_v2,rework_required_upright_too_small,0.3888,46.211,major source-scene drift outside proxy region (pct_gt25=0.3888); manual layout/text not reliably preserved
