task_id,filename,new_since_previous_review,bottle_proxy_state,outside_proxy_pct_gt25,warning
img2-0002,0002__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_002.png,False,lying_bar,0.0642,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0003,0003__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_003.png,False,lying_bar,0.0951,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0004,0004__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_004.png,False,lying_bar,0.1071,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0005,0005__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_005.png,False,upright_dot,0.0787,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0007,0007__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_007.png,False,upright_dot,0.0969,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0017,0017__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_017.png,False,upright_dot,0.0928,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0076,0076__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_076.png,False,upright_dot,0.0706,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0079,0079__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_079.png,False,upright_dot,0.0607,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0084,0084__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_084.png,False,upright_dot,0.077,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0091,0091__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_091.png,False,upright_dot,0.0765,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0107,0107__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_107.png,False,lying_bar,0.1094,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0108,0108__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_108.png,False,upright_dot,0.0557,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0109,0109__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_109.png,False,lying_bar,0.0621,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0110,0110__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_110.png,False,lying_bar,0.0914,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0111,0111__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_111.png,True,lying_bar,0.0619,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0112,0112__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_112.png,True,lying_bar,0.0753,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0113,0113__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_113.png,True,upright_dot,0.0768,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0158,0158__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_158.png,False,lying_bar,0.0806,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0160,0160__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_160.png,False,lying_bar,0.0657,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0162,0162__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_162.png,False,lying_bar,0.0885,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0171,0171__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_171.png,False,lying_bar,0.0569,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0172,0172__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_172.png,False,lying_bar,0.057,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0173,0173__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_173.png,False,upright_dot,0.0509,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0174,0174__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_174.png,False,lying_bar,0.0681,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0175,0175__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_175.png,True,lying_bar,0.0693,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0177,0177__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_177.png,True,upright_dot,0.067,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0179,0179__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_179.png,True,upright_dot,0.1241,moderate source-scene drift; needs visual acceptance before final dataset acceptance
img2-0505,0505__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_005.png,False,lying_bar,0.1466,moderate source-scene drift; needs visual acceptance before final dataset acceptance
