task_id,subject,body_file
img2-0118,Image Worker repair: img2-0118,/tmp/book_kevin_json_repair_tickets/img2-0118.txt
img2-0119,Image Worker repair: img2-0119,/tmp/book_kevin_json_repair_tickets/img2-0119.txt
img2-0120,Image Worker repair: img2-0120,/tmp/book_kevin_json_repair_tickets/img2-0120.txt
img2-0121,Image Worker repair: img2-0121,/tmp/book_kevin_json_repair_tickets/img2-0121.txt
img2-0122,Image Worker repair: img2-0122,/tmp/book_kevin_json_repair_tickets/img2-0122.txt
img2-0123,Image Worker repair: img2-0123,/tmp/book_kevin_json_repair_tickets/img2-0123.txt
img2-0180,Image Worker repair: img2-0180,/tmp/book_kevin_json_repair_tickets/img2-0180.txt
img2-0182,Image Worker repair: img2-0182,/tmp/book_kevin_json_repair_tickets/img2-0182.txt
img2-0183,Image Worker repair: img2-0183,/tmp/book_kevin_json_repair_tickets/img2-0183.txt
img2-0184,Image Worker repair: img2-0184,/tmp/book_kevin_json_repair_tickets/img2-0184.txt
img2-0185,Image Worker repair: img2-0185,/tmp/book_kevin_json_repair_tickets/img2-0185.txt
