task_id,filename,new_since_previous_review,readable,width,height,resolution_ok,bottle_proxy_state,bottle_proxy_bbox_xyxy,bottle_proxy_angle_degrees,missing_count,present_items,status,review_status,outside_proxy_pct_gt25,outside_proxy_mean_absdiff,outside_proxy_pct_gt50,sha256,input_image_path,output_path
img2-0001,0001__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_001.png,False,True,1448,1086,True,lying_bar,"[387, 380, 645, 579]",127.152,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,needs_rework_corrected_bottle_reference,rework_required,0.0497,6.519,0.0166,c6c2f49dcc3085a97531d724695f8c8708a3c3709de1fe2323224d4f8b39f4f8,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0001__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_001.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0001__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_001.png
img2-0002,0002__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_002.png,False,True,1448,1086,True,lying_bar,"[1284, 326, 1345, 642]",8.426,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,needs_rework_corrected_bottle_reference,rework_required,0.0642,7.114,0.0217,86aa78b7e46bcd0eda0b6cd3d69a93f4eb0168fce462c4075051cc99d2e99723,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0002__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_002.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0002__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_002.png
img2-0003,0003__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_003.png,False,True,1448,1086,True,lying_bar,"[52, 522, 361, 613]",75.827,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,needs_rework_corrected_bottle_reference,rework_required,0.0951,11.359,0.0561,7545403796cff4e2890bfca9b18f248910e8ef7174bf63197d6de5f914b5c1ea,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0003__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_003.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0003__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_003.png
img2-0004,0004__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_004.png,False,True,1448,1086,True,lying_bar,"[516, 384, 749, 610]",133.856,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,needs_rework_corrected_bottle_reference,rework_required,0.1071,12.738,0.0596,6be96f421e795836308b0e87e6b2601059d3a217289db35f62d05cc59a8ad203,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0004__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_004.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0004__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_004.png
img2-0005,0005__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_005.png,False,True,1448,1086,True,upright_dot,"[1186, 408, 1225, 447]",,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,needs_rework_upright_scale_v2,rework_required_upright_too_small,0.0787,9.012,0.0341,b7dc1cfbab328c530c6ed76c8bb72e9357ef4afecc0435322cbf6bd1b9e13f08,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0005__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_005.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0005__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_005.png
img2-0006,0006__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_006.png,False,True,1448,1086,True,upright_dot,"[930, 112, 969, 151]",,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,needs_rework_upright_scale_v2,rework_required_upright_too_small,0.1767,19.502,0.1182,ffa1c6b0d8948ad28b2082a63916df2e1da2c05de79df29de1fabd82f60101e4,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0006__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_006.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0006__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_006.png
img2-0007,0007__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_007.png,False,True,1448,1086,True,upright_dot,"[536, 990, 575, 1029]",,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,needs_rework_upright_scale_v2,rework_required_upright_too_small,0.0969,10.766,0.0518,63334d38140b3d4ff488760f6d6b67933e0b20005b6ac7a9dd58f4466c562c3e,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0007__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_007.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0007__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_007.png
img2-0008,0008__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_008.png,False,True,1448,1086,True,lying_bar,"[414, 382, 601, 649]",34.276,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,completed_visual_reference_copy,ready_visual_review_provenance_risk,0.0,0.0,0.0,88d6c04d01d4983b682cbfce6296d7df893861a05a4641728f900427abcb8845,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0008__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_008.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0008__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_008.png
img2-0009,0009__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_009.png,False,True,1448,1086,True,lying_bar,"[996, 272, 1314, 321]",96.166,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,completed_visual_reference_copy,ready_visual_review_provenance_risk,0.0,0.0,0.0,19981a357d05b364ee5028b9d7e6c842874d727f30d3792ab59bec72c9dc4300,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0009__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_009.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0009__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_009.png
img2-0010,0010__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_010.png,False,True,1448,1086,True,lying_bar,"[798, 536, 1070, 715]",57.601,0,bottle_proxy|manual_warranty_service|manual_battery_instruction|manual_download_service|manual_service_qr,completed_visual_reference_copy,ready_visual_review_provenance_risk,0.0,0.0,0.0,df21591f996dd3c38374089f63294d7a88f7be63691687d8f2d6c6b7a859dad3,/mnt/f/CodexWorkspace/assembly_line_optimize/synthetic_1000_atom_proxy_combinations/0010__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_010.png,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0010__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_010.png
