task_id,output,mtime,size,bbox,outside_proxy_pct_gt25,outside_proxy_mean_absdiff,status,sha16
img2-0118,0118__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_118.png,1779268607.8421788,1448x1086,"[194, 790, 233, 829]",0.003386,0.2230,PASS_CANDIDATE,6803ed3ccc8b7843
img2-0119,0119__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_119.png,1779269429.3109608,1448x1086,"[406, 385, 657, 593]",0.000000,0.0000,PASS_CANDIDATE,466e1aaf02901871
img2-0120,0120__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_120.png,1779268079.2019646,1448x1086,"[1252, 168, 1291, 207]",0.005782,0.4750,PASS_CANDIDATE,d840075d4b94f8a2
img2-0121,0121__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_121.png,1779269299.6714666,1448x1086,"[454, 32, 658, 286]",0.002891,0.3124,PASS_CANDIDATE,db79172c7e21617a
img2-0122,0122__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_122.png,1779269285.3660936,1448x1086,"[487, 70, 805, 93]",0.004337,0.2974,PASS_CANDIDATE,2d8e61b9e1574aec
img2-0123,0123__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_123.png,1779268238.85439,1448x1086,"[1292, 894, 1331, 933]",0.003656,0.2990,PASS_CANDIDATE,2257b6f6e6466bd7
img2-0180,0180__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_180.png,1779269295.1261897,1448x1086,"[257, 135, 429, 411]",0.001003,0.0993,PASS_CANDIDATE,543bd7340319434c
img2-0182,0182__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_182.png,1779269056.1638453,1448x1086,"[315, 411, 585, 593]",0.001741,0.1350,PASS_CANDIDATE,9b958e9960eadc6a
img2-0183,0183__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_183.png,1779269237.4799006,1448x1086,"[370, 280, 679, 369]",0.001944,0.1542,PASS_CANDIDATE,88ece5cdc039a173
img2-0184,0184__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_184.png,1779269507.8148339,1448x1086,"[312, 660, 351, 699]",0.002578,0.1456,PASS_CANDIDATE,24d1c813165a1491
img2-0185,0185__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_185.png,1779267103.3808537,1448x1086,"[48, 754, 87, 793]",0.325567,39.3317,FAIL_DRIFT,ca78d8c970ea3b32
