task_id,output_filename,bottle_proxy_state,audit_result,action,note,output_size
img2-0066,0066__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_066.png,lying_bar,PASS,left unchanged,Visual audit: generated bottle material/shape matches Generated Bottle Pose Collection closely enough; no generic/invented bottle rework needed.,1448x1086
img2-0067,0067__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_067.png,lying_bar,PASS,left unchanged,Visual audit: generated bottle material/shape matches Generated Bottle Pose Collection closely enough; no generic/invented bottle rework needed.,1448x1086
img2-0068,0068__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_068.png,lying_bar,PASS,left unchanged,Visual audit: generated bottle material/shape matches Generated Bottle Pose Collection closely enough; no generic/invented bottle rework needed.,1448x1086
img2-0069,0069__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_069.png,lying_bar,PASS,left unchanged,Visual audit: generated bottle material/shape matches Generated Bottle Pose Collection closely enough; no generic/invented bottle rework needed.,1448x1086
img2-0070,0070__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_070.png,lying_bar,PASS,left unchanged,Visual audit: generated bottle material/shape matches Generated Bottle Pose Collection closely enough; no generic/invented bottle rework needed.,1448x1086
img2-0071,0071__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_071.png,lying_bar,PASS,left unchanged,Visual audit: generated bottle material/shape matches Generated Bottle Pose Collection closely enough; no generic/invented bottle rework needed.,1448x1086
img2-0072,0072__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_072.png,upright_dot,PASS,left unchanged,Visual audit: generated bottle material/shape matches Generated Bottle Pose Collection closely enough; no generic/invented bottle rework needed.,1448x1086
img2-0073,0073__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_073.png,lying_bar,PASS,left unchanged,Visual audit: generated bottle material/shape matches Generated Bottle Pose Collection closely enough; no generic/invented bottle rework needed.,1448x1086
img2-0074,0074__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_074.png,lying_bar,PASS,left unchanged,Visual audit: generated bottle material/shape matches Generated Bottle Pose Collection closely enough; no generic/invented bottle rework needed.,1448x1086
img2-0075,0075__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_075.png,upright_dot,PASS,left unchanged,Visual audit: generated bottle material/shape matches Generated Bottle Pose Collection closely enough; no generic/invented bottle rework needed.,1448x1086
img2-0076,0076__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_076.png,upright_dot,PASS,left unchanged,Visual audit: generated bottle material/shape matches Generated Bottle Pose Collection closely enough; no generic/invented bottle rework needed.,1448x1086
img2-0077,0077__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_077.png,lying_bar,PASS,left unchanged,Visual audit: generated bottle material/shape matches Generated Bottle Pose Collection closely enough; no generic/invented bottle rework needed.,1448x1086
img2-0078,0078__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_078.png,lying_bar,PASS,left unchanged,Visual audit: generated bottle material/shape matches Generated Bottle Pose Collection closely enough; no generic/invented bottle rework needed.,1448x1086
img2-0079,0079__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_079.png,upright_dot,PASS,left unchanged,Visual audit: generated bottle material/shape matches Generated Bottle Pose Collection closely enough; no generic/invented bottle rework needed.,1448x1086
img2-0080,0080__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_080.png,lying_bar,PASS,left unchanged,Visual audit: generated bottle material/shape matches Generated Bottle Pose Collection closely enough; no generic/invented bottle rework needed.,1448x1086
img2-0081,0081__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_081.png,lying_bar,PASS,left unchanged,Visual audit: generated bottle material/shape matches Generated Bottle Pose Collection closely enough; no generic/invented bottle rework needed.,1448x1086
