task_id,sample_index,assigned_worker,qa_status,retry_note,output_size,output_format,output_path
img2-0076,76,jesse,pass,none,"(1448, 1086)",PNG,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0076__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_076.png
img2-0079,79,jesse,pass,none,"(1448, 1086)",PNG,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0079__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_079.png
img2-0084,84,jesse,pass,none,"(1448, 1086)",PNG,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0084__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_084.png
img2-0085,85,jesse,pass,none,"(1448, 1086)",PNG,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0085__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_085.png
img2-0091,91,jesse,pass,none,"(1448, 1086)",PNG,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0091__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_091.png
img2-0095,95,jesse,pass,none,"(1448, 1086)",PNG,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0095__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_095.png
img2-0097,97,jesse,pass,none,"(1448, 1086)",PNG,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0097__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_097.png
img2-0101,101,jesse,pass,none,"(1448, 1086)",PNG,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0101__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_101.png
img2-0157,157,jesse,pass,none,"(1448, 1086)",PNG,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0157__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_157.png
img2-0159,159,jesse,pass,none,"(1448, 1086)",PNG,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0159__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_159.png
img2-0161,161,jesse,pass,none,"(1448, 1086)",PNG,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0161__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_161.png
img2-0164,164,jesse,fail,retry once; Image2 changed manual layout both attempts; manual_review_needed; output not overwritten by me,"(1448, 1086)",PNG,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0164__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_164.png
img2-0168,168,jesse,pass,none,"(1448, 1086)",PNG,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0168__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_168.png
img2-0504,504,tony,skipped,assigned_worker=tony in CSV; not modified,"(1448, 1086)",PNG,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0504__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_004.png
img2-0510,510,jesse,pass,"retried once; first attempt changed paper layout/added or split manual, second accepted","(1448, 1086)",PNG,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0510__false__missing_1__combo_bottle_proxy__manual_battery_instruction__manual_download_service__manual_service_qr__copy_010.png
img2-0952,952,jesse,pass,none,"(1448, 1086)",PNG,/mnt/f/CodexWorkspace/assembly_line_optimize/image2_ai_only_1000_atom_combinations/0952__false__missing_2__combo_bottle_proxy__manual_battery_instruction__manual_download_service__copy_002.png
