task_id,sample_index,output_filename,bottle_proxy_state,audit_result,action,notes,sha256,size_ok
img2-0001,1,0001__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_001.png,lying_bar,PASS,left unchanged,Visual bottle material/shape matches Generated Bottle Pose Collection; no AI rework needed for shape/material audit.,c6c2f49dcc3085a97531d724695f8c8708a3c3709de1fe2323224d4f8b39f4f8,1448x1086
img2-0002,2,0002__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_002.png,lying_bar,PASS,left unchanged,Visual bottle material/shape matches Generated Bottle Pose Collection; no AI rework needed for shape/material audit.,86aa78b7e46bcd0eda0b6cd3d69a93f4eb0168fce462c4075051cc99d2e99723,1448x1086
img2-0003,3,0003__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_003.png,lying_bar,PASS,left unchanged,Visual bottle material/shape matches Generated Bottle Pose Collection; no AI rework needed for shape/material audit.,7545403796cff4e2890bfca9b18f248910e8ef7174bf63197d6de5f914b5c1ea,1448x1086
img2-0004,4,0004__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_004.png,lying_bar,PASS,left unchanged,Visual bottle material/shape matches Generated Bottle Pose Collection; no AI rework needed for shape/material audit.,6be96f421e795836308b0e87e6b2601059d3a217289db35f62d05cc59a8ad203,1448x1086
img2-0005,5,0005__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_005.png,upright_dot,PASS,left unchanged,Visual bottle material/shape matches Generated Bottle Pose Collection; no AI rework needed for shape/material audit.,b7dc1cfbab328c530c6ed76c8bb72e9357ef4afecc0435322cbf6bd1b9e13f08,1448x1086
img2-0006,6,0006__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_006.png,upright_dot,PASS,left unchanged,Visual bottle material/shape matches Generated Bottle Pose Collection; no AI rework needed for shape/material audit.,ffa1c6b0d8948ad28b2082a63916df2e1da2c05de79df29de1fabd82f60101e4,1448x1086
img2-0007,7,0007__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_007.png,upright_dot,PASS,left unchanged,Visual bottle material/shape matches Generated Bottle Pose Collection; no AI rework needed for shape/material audit.,63334d38140b3d4ff488760f6d6b67933e0b20005b6ac7a9dd58f4466c562c3e,1448x1086
img2-0008,8,0008__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_008.png,lying_bar,PASS,left unchanged,Visual bottle material/shape matches Generated Bottle Pose Collection; no AI rework needed for shape/material audit.,88d6c04d01d4983b682cbfce6296d7df893861a05a4641728f900427abcb8845,1448x1086
img2-0009,9,0009__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_009.png,lying_bar,PASS,left unchanged,Visual bottle material/shape matches Generated Bottle Pose Collection; no AI rework needed for shape/material audit.,19981a357d05b364ee5028b9d7e6c842874d727f30d3792ab59bec72c9dc4300,1448x1086
img2-0010,10,0010__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_010.png,lying_bar,PASS,left unchanged,Visual bottle material/shape matches Generated Bottle Pose Collection; no AI rework needed for shape/material audit.,df21591f996dd3c38374089f63294d7a88f7be63691687d8f2d6c6b7a859dad3,1448x1086
img2-0011,11,0011__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_011.png,lying_bar,PASS,left unchanged,Visual bottle material/shape matches Generated Bottle Pose Collection; no AI rework needed for shape/material audit.,2d4064da8aaf6b4f182235880d00d495ff34900ea1225dc197096883ef7a8349,1448x1086
img2-0012,12,0012__true__missing_0__combo_bottle_proxy__manual_warranty_service__manual_battery_instruction__manual_download_service__manual_service_qr__copy_012.png,lying_bar,PASS,left unchanged,Visual bottle material/shape matches Generated Bottle Pose Collection; no AI rework needed for shape/material audit.,4cb20b3d33a5d758a454d76bcfbf60344196300427379fa0e998f660a0289651,1448x1086
